"都道府県コード","都道府県名","元号","和暦（年）","西暦（年）","注","人口（総数）","人口（男）","人口（女）"
"00","全国","大正",9,1920,"",55963053,28044185,27918868
"01","北海道","大正",9,1920,"",2359183,1244322,1114861
"02","青森県","大正",9,1920,"",756454,381293,375161
"03","岩手県","大正",9,1920,"",845540,421069,424471
"04","宮城県","大正",9,1920,"",961768,485309,476459
"05","秋田県","大正",9,1920,"",898537,453682,444855
"06","山形県","大正",9,1920,"",968925,478328,490597
"07","福島県","大正",9,1920,"",1362750,673525,689225
"08","茨城県","大正",9,1920,"",1350400,662128,688272
"09","栃木県","大正",9,1920,"",1046479,514255,532224
"10","群馬県","大正",9,1920,"",1052610,514106,538504
"11","埼玉県","大正",9,1920,"",1319533,641161,678372
"12","千葉県","大正",9,1920,"",1336155,656968,679187
"13","東京都","大正",9,1920,"",3699428,1952989,1746439
"14","神奈川県","大正",9,1920,"",1323390,689751,633639
"15","新潟県","大正",9,1920,"",1776474,871532,904942
"16","富山県","大正",9,1920,"",724276,354775,369501
"17","石川県","大正",9,1920,"",747360,364375,382985
"18","福井県","大正",9,1920,"",599155,293181,305974
"19","山梨県","大正",9,1920,"",583453,290817,292636
"20","長野県","大正",9,1920,"",1562722,758639,804083
"21","岐阜県","大正",9,1920,"",1070407,536334,534073
"22","静岡県","大正",9,1920,"",1550387,774169,776218
"23","愛知県","大正",9,1920,"",2089762,1033860,1055902
"24","三重県","大正",9,1920,"",1069270,525957,543313
"25","滋賀県","大正",9,1920,"",651050,313737,337313
"26","京都府","大正",9,1920,"",1287147,650780,636367
"27","大阪府","大正",9,1920,"",2587847,1344846,1243001
"28","兵庫県","大正",9,1920,"",2301799,1175426,1126373
"29","奈良県","大正",9,1920,"",564607,280383,284224
"30","和歌山県","大正",9,1920,"",750411,372058,378353
"31","鳥取県","大正",9,1920,"",454675,222802,231873
"32","島根県","大正",9,1920,"",714712,354959,359753
"33","岡山県","大正",9,1920,"",1217698,605316,612382
"34","広島県","大正",9,1920,"",1541905,775080,766825
"35","山口県","大正",9,1920,"",1041013,521041,519972
"36","徳島県","大正",9,1920,"",670212,331768,338444
"37","香川県","大正",9,1920,"",677852,336195,341657
"38","愛媛県","大正",9,1920,"",1046720,515389,531331
"39","高知県","大正",9,1920,"",670895,332087,338808
"40","福岡県","大正",9,1920,"",2188249,1116818,1071431
"41","佐賀県","大正",9,1920,"",673895,329962,343933
"42","長崎県","大正",9,1920,"",1136182,584234,551948
"43","熊本県","大正",9,1920,"",1233233,602389,630844
"44","大分県","大正",9,1920,"",860282,422708,437574
"45","宮崎県","大正",9,1920,"",651097,326610,324487
"46","鹿児島県","大正",9,1920,"",1415582,682243,733339
"47","沖縄県","大正",9,1920,"",571572,274829,296743
"00","全国","大正",14,1925,"",59736822,30013109,29723713
"01","北海道","大正",14,1925,"",2498679,1305473,1193206
"02","青森県","大正",14,1925,"",812977,408770,404207
"03","岩手県","大正",14,1925,"",900984,448637,452347
"04","宮城県","大正",14,1925,"",1044036,525191,518845
"05","秋田県","大正",14,1925,"",936408,470737,465671
"06","山形県","大正",14,1925,"",1027297,506303,520994
"07","福島県","大正",14,1925,"",1437596,710606,726990
"08","茨城県","大正",14,1925,"",1409092,693837,715255
"09","栃木県","大正",14,1925,"",1090428,536259,554169
"10","群馬県","大正",14,1925,"",1118858,548633,570225
"11","埼玉県","大正",14,1925,"",1394461,682052,712409
"12","千葉県","大正",14,1925,"",1399257,691242,708015
"13","東京都","大正",14,1925,"",4485144,2387609,2097535
"14","神奈川県","大正",14,1925,"",1416792,739699,677093
"15","新潟県","大正",14,1925,"",1849807,913886,935921
"16","富山県","大正",14,1925,"",749243,368593,380650
"17","石川県","大正",14,1925,"",750854,365597,385257
"18","福井県","大正",14,1925,"",597899,293039,304860
"19","山梨県","大正",14,1925,"",600675,300289,300386
"20","長野県","大正",14,1925,"",1629217,793875,835342
"21","岐阜県","大正",14,1925,"",1132557,567837,564720
"22","静岡県","大正",14,1925,"",1671217,835521,835696
"23","愛知県","大正",14,1925,"",2319494,1150325,1169169
"24","三重県","大正",14,1925,"",1107692,544752,562940
"25","滋賀県","大正",14,1925,"",662412,321071,341341
"26","京都府","大正",14,1925,"",1406382,717464,688918
"27","大阪府","大正",14,1925,"",3059502,1594227,1465275
"28","兵庫県","大正",14,1925,"",2454679,1239326,1215353
"29","奈良県","大正",14,1925,"",583828,289770,294058
"30","和歌山県","大正",14,1925,"",787511,392191,395320
"31","鳥取県","大正",14,1925,"",472230,230580,241650
"32","島根県","大正",14,1925,"",722402,359987,362415
"33","岡山県","大正",14,1925,"",1238447,613619,624828
"34","広島県","大正",14,1925,"",1617680,818266,799414
"35","山口県","大正",14,1925,"",1094544,552793,541751
"36","徳島県","大正",14,1925,"",689814,344550,345264
"37","香川県","大正",14,1925,"",700308,351911,348397
"38","愛媛県","大正",14,1925,"",1096366,542271,554095
"39","高知県","大正",14,1925,"",687478,341687,345791
"40","福岡県","大正",14,1925,"",2301668,1166165,1135503
"41","佐賀県","大正",14,1925,"",684831,336223,348608
"42","長崎県","大正",14,1925,"",1163945,593472,570473
"43","熊本県","大正",14,1925,"",1296086,637753,658333
"44","大分県","大正",14,1925,"",915136,451298,463838
"45","宮崎県","大正",14,1925,"",691094,348088,343006
"46","鹿児島県","大正",14,1925,"",1472193,713702,758491
"47","沖縄県","大正",14,1925,"",557622,267933,289689
"00","全国","昭和",5,1930,"",64450005,32390155,32059850
"01","北海道","昭和",5,1930,"",2812335,1468540,1343795
"02","青森県","昭和",5,1930,"",879914,441441,438473
"03","岩手県","昭和",5,1930,"",975771,486925,488846
"04","宮城県","昭和",5,1930,"",1142784,575335,567449
"05","秋田県","昭和",5,1930,"",987706,495009,492697
"06","山形県","昭和",5,1930,"",1080034,532377,547657
"07","福島県","昭和",5,1930,"",1508150,742342,765808
"08","茨城県","昭和",5,1930,"",1487097,734059,753038
"09","栃木県","昭和",5,1930,"",1141737,562839,578898
"10","群馬県","昭和",5,1930,"",1186080,581007,605073
"11","埼玉県","昭和",5,1930,"",1459172,718779,740393
"12","千葉県","昭和",5,1930,"",1470121,729439,740682
"13","東京都","昭和",5,1930,"",5408678,2855323,2553355
"14","神奈川県","昭和",5,1930,"",1619606,839309,780297
"15","新潟県","昭和",5,1930,"",1933326,955621,977705
"16","富山県","昭和",5,1930,"",778953,381809,397144
"17","石川県","昭和",5,1930,"",756835,368402,388433
"18","福井県","昭和",5,1930,"",618144,304525,313619
"19","山梨県","昭和",5,1930,"",631042,315327,315715
"20","長野県","昭和",5,1930,"",1717118,832312,884806
"21","岐阜県","昭和",5,1930,"",1178405,591049,587356
"22","静岡県","昭和",5,1930,"",1797805,900640,897165
"23","愛知県","昭和",5,1930,"",2567413,1277720,1289693
"24","三重県","昭和",5,1930,"",1157407,571000,586407
"25","滋賀県","昭和",5,1930,"",691631,337016,354615
"26","京都府","昭和",5,1930,"",1552832,792420,760412
"27","大阪府","昭和",5,1930,"",3540017,1845786,1694231
"28","兵庫県","昭和",5,1930,"",2646301,1332918,1313383
"29","奈良県","昭和",5,1930,"",596225,295456,300769
"30","和歌山県","昭和",5,1930,"",830748,415035,415713
"31","鳥取県","昭和",5,1930,"",489266,239084,250182
"32","島根県","昭和",5,1930,"",739507,368888,370619
"33","岡山県","昭和",5,1930,"",1283962,637965,645997
"34","広島県","昭和",5,1930,"",1692136,856737,835399
"35","山口県","昭和",5,1930,"",1135637,571642,563995
"36","徳島県","昭和",5,1930,"",716544,356958,359586
"37","香川県","昭和",5,1930,"",732816,368442,364374
"38","愛媛県","昭和",5,1930,"",1142122,564699,577423
"39","高知県","昭和",5,1930,"",718152,357166,360986
"40","福岡県","昭和",5,1930,"",2527119,1280624,1246495
"41","佐賀県","昭和",5,1930,"",691565,337996,353569
"42","長崎県","昭和",5,1930,"",1233362,630525,602837
"43","熊本県","昭和",5,1930,"",1353993,664106,689887
"44","大分県","昭和",5,1930,"",945771,465994,479777
"45","宮崎県","昭和",5,1930,"",760467,383128,377339
"46","鹿児島県","昭和",5,1930,"",1556690,753644,803046
"47","沖縄県","昭和",5,1930,"",577509,272797,304712
"00","全国","昭和",10,1935,"",69254148,34734133,34520015
"01","北海道","昭和",10,1935,"",3068282,1593845,1474437
"02","青森県","昭和",10,1935,"",967129,484277,482852
"03","岩手県","昭和",10,1935,"",1046111,519485,526626
"04","宮城県","昭和",10,1935,"",1234801,622973,611828
"05","秋田県","昭和",10,1935,"",1037744,519249,518495
"06","山形県","昭和",10,1935,"",1116822,549060,567762
"07","福島県","昭和",10,1935,"",1581563,778732,802831
"08","茨城県","昭和",10,1935,"",1548991,766423,782568
"09","栃木県","昭和",10,1935,"",1195057,588545,606512
"10","群馬県","昭和",10,1935,"",1242453,606779,635674
"11","埼玉県","昭和",10,1935,"",1528854,753802,775052
"12","千葉県","昭和",10,1935,"",1546394,764751,781643
"13","東京都","昭和",10,1935,"",6369919,3325696,3044223
"14","神奈川県","昭和",10,1935,"",1840005,951348,888657
"15","新潟県","昭和",10,1935,"",1995777,982497,1013280
"16","富山県","昭和",10,1935,"",798890,388771,410119
"17","石川県","昭和",10,1935,"",768416,370907,397509
"18","福井県","昭和",10,1935,"",646659,316424,330235
"19","山梨県","昭和",10,1935,"",646727,319924,326803
